# BEADS_RUST conformance cases: name<TAB>argv (JSON string array)
# Every case runs in the ws-run sandbox (scripts/ws-run.sh --help): a fresh workspace at /mnt/proj, a pinned
# instant, a cleared environment. Leading pseudo-arguments select the inputs:
#   @fx=<name>    goldens/fixtures/<name>.jsonl becomes .beads/issues.jsonl (default: empty; `none` = no .beads at all)
#   @time=<UTC>   the pinned instant (default 2026-01-02 03:04:05)
#   @scn=<name>   a multi-step scenario, goldens/scenarios/<name>.scn
# When a run changes the store, `--- .beads/issues.jsonl ---` (and last-touched) follow the command's stdout.
# Capture:  scripts/golden-capture.sh goldens/cases.tsv goldens --timeout 60 -- scripts/ws-run.sh --oracle br --no-db ::
# Floor:    scripts/floor.sh goldens/cases.tsv goldens --repeat 3 -- scripts/ws-run.sh --oracle br --no-db ::
# Check:    LANE_WRAP=scripts/ws-run.sh scripts/lanes.sh goldens/cases.tsv goldens "$PWD/port/main.bend"
usage_none	[]
dep_tree_both_json	["@fx=hierarchy","dep","tree","proj-in9","--direction","both","--json"]
dep_tree_up_basic	["@fx=basic","dep","tree","proj-uly","--direction","up"]
dep_list_up	["@fx=hierarchy","dep","list","proj-in9","--direction","up"]
dep_list_up_json	["@fx=hierarchy","dep","list","proj-in9","--direction","up","--json"]
dep_list_up_none	["@fx=hierarchy","dep","list","proj-6ja","--direction","up"]
dep_list_up_none_json	["@fx=hierarchy","dep","list","proj-6ja","--direction","up","--json"]
dep_list_up_type_json	["@fx=basic","dep","list","proj-mta","--direction","up","-t","related","--json"]
dep_list_both	["@fx=hierarchy","dep","list","proj-in9","--direction","both"]
dep_list_both_json	["@fx=hierarchy","dep","list","proj-in9","--direction","both","--json"]
dep_list_both_basic	["@fx=basic","dep","list","proj-170","--direction","both"]
dep_list_both_none	["@fx=basic","dep","list","proj-ptp","--direction","both"]
usage_enum_direction_dep_list	["dep","list","proj-in9","--direction","sideways"]
dep_tree_mermaid	["@fx=hierarchy","dep","tree","proj-6ja","--format","mermaid"]
dep_tree_mermaid_json	["@fx=hierarchy","dep","tree","proj-6ja","--format","mermaid","--json"]
dep_tree_mermaid_up	["@fx=hierarchy","dep","tree","proj-ig8","--format","mermaid","--direction","up"]
dep_tree_mermaid_leaf	["@fx=hierarchy","dep","tree","proj-ig8","--format","mermaid"]
dep_tree_mermaid_quiet	["@fx=hierarchy","dep","tree","proj-6ja","--format","mermaid","--quiet"]
dep_tree_mermaid_upper	["@fx=basic","dep","tree","proj-170","--format","MERMAID"]
dep_tree_mermaid_unicode	["@fx=basic","dep","tree","proj-b75","--format","mermaid"]
dep_tree_format_other	["@fx=basic","dep","tree","proj-170","--format","bogus"]
scn_mermaid_titles	["@scn=mermaid_titles"]
blocked_detailed	["@fx=basic","blocked","--detailed"]
blocked_detailed_json	["@fx=basic","blocked","--detailed","--json"]
blocked_detailed_graph	["@fx=graph","blocked","--detailed"]
blocked_detailed_limit	["@fx=graph","blocked","--detailed","--limit","2"]
scn_blocked_detailed_external	["@scn=blocked_detailed_external"]
ready_parents	["@fx=parents","ready"]
ready_parent	["@fx=parents","ready","--parent","proj-9vo"]
ready_parent_json	["@fx=parents","ready","--parent","proj-9vo","--json"]
ready_parent_recursive	["@fx=parents","ready","--parent","proj-9vo","--recursive"]
ready_parent_recursive_json	["@fx=parents","ready","--parent","proj-9vo","--recursive","--json"]
ready_parent_short_r	["@fx=parents","ready","--parent","proj-9vo","--sort","priority","-r"]
ready_parent_nested	["@fx=parents","ready","--parent","proj-9vo.1"]
ready_parent_partial	["@fx=parents","ready","--parent","9vo.1"]
ready_parent_none	["@fx=parents","ready","--parent","proj-3av"]
ready_parent_none_json	["@fx=parents","ready","--parent","proj-3av","--json"]
ready_epic	["@fx=parents","ready","--epic","proj-9vo"]
ready_epic_json	["@fx=parents","ready","--epic","proj-9vo","--json"]
ready_recursive_only	["@fx=parents","ready","--recursive"]
usage_ready_parent_epic	["@fx=parents","ready","--parent","proj-9vo","--epic","proj-9vo"]
error_ready_parent_missing	["@fx=parents","ready","--parent","nope"]
error_ready_parent_missing_json	["@fx=parents","ready","--parent","nope","--json"]
create_fraction_json	["@time=2026-01-02 03:04:05.25","create","Quarter second","--json"]
create_fraction_eighth	["@time=2026-01-02 03:04:05.125","create","Eighth second"]
q_fraction	["@time=2026-01-02 03:04:05.5","q","Half second"]
update_fraction	["@fx=basic","@time=2026-01-02 03:04:05.5","update","proj-mta","--priority","0"]
close_fraction_json	["@fx=basic","@time=2026-01-02 03:04:05.125","close","proj-mta","--json"]
prefix_config_create	["@fx=cfg_bd","create","Prefixed"]
prefix_config_create_json	["@fx=cfg_bd","create","Prefixed","--json"]
prefix_config_where	["@fx=cfg_bd","where"]
prefix_config_quoted	["@fx=cfg_quoted","create","Prefixed"]
prefix_config_quoted_where	["@fx=cfg_quoted","where","--json"]
prefix_config_nested	["@fx=cfg_nested","create","Prefixed"]
prefix_config_both	["@fx=cfg_both","create","Prefixed"]
error_prefix_config_bad	["@fx=cfg_bad","create","Prefixed"]
error_prefix_config_bad_json	["@fx=cfg_bad","create","Prefixed","--json"]
error_prefix_config_bad_list	["@fx=cfg_bad","list"]
prefix_config_bad_where	["@fx=cfg_bad","where","--json"]
prefix_store_create	["@fx=bdstore","create","Scanned prefix","--json"]
prefix_store_q	["@fx=bdstore","q","Quick scanned"]
prefix_store_show_partial	["@fx=bdstore","show","kci"]
prefix_store_where	["@fx=bdstore","where"]
where_empty	["@fx=empty","where"]
where_empty_json	["@fx=empty","where","--json"]
list_overdue	["@fx=due","@time=2026-06-01 00:00:00","list","--overdue"]
list_overdue_json	["@fx=due","@time=2026-06-01 00:00:00","list","--overdue","--json"]
list_overdue_all	["@fx=due","@time=2026-06-01 00:00:00","list","--overdue","--all"]
list_overdue_status_deferred	["@fx=due","@time=2026-06-01 00:00:00","list","--overdue","--status","deferred"]
list_overdue_deferred	["@fx=due","@time=2026-06-01 00:00:00","list","--overdue","--deferred"]
list_overdue_priority	["@fx=due","@time=2026-06-01 00:00:00","list","--overdue","-p","0"]
list_overdue_none	["@fx=due","list","--overdue"]
scn_append_notes	["@scn=append_notes"]
update_append_notes	["@fx=basic","update","proj-mta","--append-notes","more"]
update_append_notes_json	["@fx=basic","update","proj-mta","--append-notes","more","--json"]
update_append_notes_unicode	["@fx=basic","update","proj-mta","--append-notes","héllo wörld"]
update_append_notes_combined	["@fx=basic","update","proj-mta","--append-notes","x","--status","in_progress","--priority","0"]
update_append_notes_two	["@fx=basic","update","proj-mta","proj-ptp","--append-notes","both"]
error_update_append_empty	["@fx=basic","update","proj-mta","--append-notes",""]
error_update_append_empty_json	["@fx=basic","update","proj-mta","--append-notes","","--json"]
usage_update_notes_append	["@fx=basic","update","proj-mta","--notes","base","--append-notes","more"]
update_parent	["@fx=basic","update","proj-mta","--parent","proj-uly"]
update_parent_json	["@fx=basic","update","proj-mta","--parent","proj-uly","--json"]
update_parent_move	["@fx=basic","update","proj-170","--parent","proj-b75"]
update_parent_clear	["@fx=basic","update","proj-170","--parent",""]
update_parent_partial	["@fx=basic","update","mta","--parent","uly"]
error_update_parent_cycle	["@fx=basic","update","proj-170","--parent","proj-mta"]
error_update_parent_cycle_json	["@fx=basic","update","proj-uly","--parent","proj-170","--json"]
error_update_parent_self	["@fx=basic","update","proj-mta","--parent","proj-mta"]
error_update_parent_missing	["@fx=basic","update","proj-mta","--parent","nope"]
usage_help_create	["create", "--help"]
usage_help_short_create	["create", "-h"]
usage_help_q	["q", "--help"]
usage_help_short_q	["q", "-h"]
usage_help_update	["update", "--help"]
usage_help_short_update	["update", "-h"]
usage_help_close	["close", "--help"]
usage_help_short_close	["close", "-h"]
usage_help_reopen	["reopen", "--help"]
usage_help_short_reopen	["reopen", "-h"]
usage_help_defer	["defer", "--help"]
usage_help_short_defer	["defer", "-h"]
usage_help_undefer	["undefer", "--help"]
usage_help_short_undefer	["undefer", "-h"]
usage_help_delete	["delete", "--help"]
usage_help_short_delete	["delete", "-h"]
usage_help_show	["show", "--help"]
usage_help_short_show	["show", "-h"]
usage_help_search	["search", "--help"]
usage_help_short_search	["search", "-h"]
usage_help_count	["count", "--help"]
usage_help_short_count	["count", "-h"]
usage_help_stats	["stats", "--help"]
usage_help_short_stats	["stats", "-h"]
usage_help_ready	["ready", "--help"]
usage_help_short_ready	["ready", "-h"]
usage_help_blocked	["blocked", "--help"]
usage_help_short_blocked	["blocked", "-h"]
usage_help_where	["where", "--help"]
usage_help_short_where	["where", "-h"]
usage_help_version	["version", "--help"]
usage_help_short_version	["version", "-h"]
usage_help_dep_add	["dep", "add", "--help"]
usage_help_short_dep_add	["dep", "add", "-h"]
usage_help_dep_remove	["dep", "remove", "--help"]
usage_help_short_dep_remove	["dep", "remove", "-h"]
usage_help_dep_list	["dep", "list", "--help"]
usage_help_short_dep_list	["dep", "list", "-h"]
usage_help_dep_tree	["dep", "tree", "--help"]
usage_help_short_dep_tree	["dep", "tree", "-h"]
usage_help_dep_cycles	["dep", "cycles", "--help"]
usage_help_short_dep_cycles	["dep", "cycles", "-h"]
usage_help_label_add	["label", "add", "--help"]
usage_help_short_label_add	["label", "add", "-h"]
usage_help_label_remove	["label", "remove", "--help"]
usage_help_short_label_remove	["label", "remove", "-h"]
usage_help_label_list	["label", "list", "--help"]
usage_help_short_label_list	["label", "list", "-h"]
usage_help_label_list_all	["label", "list-all", "--help"]
usage_help_short_label_list_all	["label", "list-all", "-h"]
usage_help_label_rename	["label", "rename", "--help"]
usage_help_short_label_rename	["label", "rename", "-h"]
usage_help_comments	["comments", "--help"]
usage_help_short_comments	["comments", "-h"]
usage_help_comments_add	["comments", "add", "--help"]
usage_help_short_comments_add	["comments", "add", "-h"]
usage_help_comments_list	["comments", "list", "--help"]
usage_help_short_comments_list	["comments", "list", "-h"]
usage_help_epic_status	["epic", "status", "--help"]
usage_help_short_epic_status	["epic", "status", "-h"]
usage_help_epic_close_eligible	["epic", "close-eligible", "--help"]
usage_help_short_epic_close_eligible	["epic", "close-eligible", "-h"]
usage_help_short_dep	["dep", "-h"]
usage_help_short_label	["label", "-h"]
usage_help_short_epic	["epic", "-h"]
usage_help_short_top	["-h"]
stats_by_type	["@fx=basic","stats","--by-type"]
stats_by_type_json	["@fx=basic","stats","--by-type","--json"]
stats_by_priority	["@fx=basic","stats","--by-priority"]
stats_by_assignee	["@fx=basic","stats","--by-assignee"]
stats_by_label	["@fx=basic","stats","--by-label"]
stats_by_all_json	["@fx=basic","stats","--by-label","--by-assignee","--by-priority","--by-type","--json"]
stats_by_label_type	["@fx=basic","stats","--by-label","--by-type"]
empty_stats_by_type_label	["@fx=empty","stats","--by-type","--by-label"]
empty_stats_by_type_json	["@fx=empty","stats","--by-type","--json"]
stats_by_type_graph	["@fx=graph","stats","--by-type","--by-priority"]
scn_stats_tombstone	["@scn=stats_tombstone"]
list_pretty	["@fx=basic","list","--pretty"]
list_pretty_long	["@fx=basic","list","--pretty","--long"]
list_pretty_json	["@fx=basic","list","--pretty","--json"]
list_pretty_parents	["@fx=parents","list","--pretty"]
list_pretty_empty	["@fx=empty","list","--pretty"]
list_pretty_limit	["@fx=basic","list","--pretty","--limit","2"]
list_tree	["@fx=basic","list","--tree"]
list_tree_parents	["@fx=parents","list","--tree"]
list_tree_json	["@fx=parents","list","--tree","--json"]
list_tree_long	["@fx=parents","list","--tree","--long"]
list_tree_wide	["@fx=tree","list","--tree"]
list_tree_adopted	["@fx=tree","list","--tree","-p","0","-p","2"]
list_tree_orphans	["@fx=tree","list","--tree","-p","1"]
list_tree_limit	["@fx=tree","list","--tree","--limit","3"]
list_tree_reverse	["@fx=tree","list","--tree","-r"]
list_tree_sort_title	["@fx=tree","list","--tree","--sort","title"]
delete_hard	["@fx=basic","delete","proj-5u2","--hard"]
delete_hard_force_json	["@fx=basic","delete","proj-mta","--hard","--force","--json"]
delete_hard_cascade_json	["@fx=basic","delete","proj-mta","--cascade","--hard","--json"]
delete_hard_preview	["@fx=basic","delete","proj-mta","--hard"]
delete_hard_quiet	["@fx=basic","delete","proj-b75","--hard","--quiet"]
delete_hard_touched	["@fx=basic_touched","delete","proj-mta","--hard","--force"]
delete_hard_all	["@fx=basic","delete","--hard"]
delete_hard_all_dry_run	["@fx=basic","delete","--hard","--dry-run"]
delete_preview_json	["@fx=basic","delete","proj-mta","--json"]
delete_preview_json_many	["@fx=basic","delete","proj-mta","proj-170","--json"]
delete_dry_run_json	["@fx=basic","delete","proj-5u2","--dry-run","--json"]
delete_dry_run_quiet	["@fx=basic","delete","proj-5u2","--dry-run","--quiet"]
delete_dry_run_force	["@fx=basic","delete","proj-mta","--force","--dry-run"]
delete_dry_run_force_json	["@fx=basic","delete","proj-mta","--force","--dry-run","--json"]
delete_dry_run_cascade	["@fx=basic","delete","proj-mta","--cascade","--dry-run"]
delete_dry_run_cascade_json	["@fx=basic","delete","proj-mta","--cascade","--dry-run","--json"]
delete_dry_run_cascade_none	["@fx=basic","delete","proj-b75","--cascade","--dry-run"]
scn_delete_hard_tombstone	["@scn=delete_hard_tombstone"]
scn_delete_purge	["@scn=delete_purge"]
close_transition_comment	["@fx=basic","close","proj-b75","--transition-comment","done-it"]
close_transition_comment_batch	["@fx=basic","close","proj-b75","proj-5u2","proj-mkh","--transition-comment","tc","--session","s7","--actor","ann","--json"]
close_session	["@fx=basic","close","proj-b75","--session","s1","--json"]
defer_transition_comment	["@fx=basic","defer","proj-b75","proj-mkh","--transition-comment","zz"]
undefer_transition_comment	["@fx=basic","undefer","proj-7vm","--transition-comment","up"]
update_transition_comment	["@fx=basic","update","proj-b75","proj-5u2","--status","in_progress","--transition-comment","x","--json"]
error_update_transition_no_status	["@fx=basic","update","proj-b75","--transition-comment","hi","--title","New"]
error_update_transition_same_status	["@fx=basic","update","proj-b75","--status","open","--transition-comment","same"]
error_update_session	["@fx=basic","update","proj-b75","--session","s9"]
error_update_session_json	["@fx=basic","update","proj-b75","--session","s9","--json"]
delete_from_file	["@fx=basic_touched","delete","--from-file",".beads/last-touched","--force"]
delete_from_file_json	["@fx=basic_touched","delete","proj-b75","--from-file",".beads/last-touched","--force","--json"]
error_delete_from_file_missing	["@fx=basic","delete","--from-file","nope.txt"]
error_delete_from_file_missing_json	["@fx=basic","delete","--from-file","nope.txt","--json"]
error_delete_from_file_dir	["@fx=basic","delete","--from-file",".beads"]
error_delete_from_file_empty	["@fx=basic","delete","--from-file","/dev/null"]
error_delete_from_file_lines	["@fx=basic","delete","--from-file",".beads/issues.jsonl"]
comments_add_file	["@fx=basic_touched","comments","add","proj-b75","-f",".beads/last-touched"]
comments_add_file_json	["@fx=basic_touched","comments","add","proj-b75","--file",".beads/last-touched","--json"]
comments_add_file_and_message	["@fx=basic_touched","comments","add","proj-b75","-f",".beads/last-touched","-m","hi"]
error_comments_add_file_missing	["@fx=basic","comments","add","proj-b75","-f","nope.txt"]
error_comments_add_file_missing_id	["@fx=basic","comments","add","proj-zzz","-f","nope.txt"]
error_comments_add_file_empty	["@fx=basic","comments","add","proj-b75","-f","/dev/null"]
update_description_file	["@fx=basic_touched","update","proj-mta","--description-file",".beads/last-touched","--force"]
error_update_description_file_guard	["@fx=basic_touched","update","proj-b75","--description-file",".beads/last-touched"]
error_update_description_file_missing_json	["@fx=basic","update","proj-b75","--description-file","nope.txt","--json"]
error_update_description_file_missing_id	["@fx=basic","update","proj-zzz","--description-file","nope.txt"]
create_description_file	["@fx=basic_touched","create","T","--description-file",".beads/last-touched","--json"]
error_create_description_file_missing	["@fx=basic","create","T","--description-file","nope.txt"]
update_add_acceptance	["@fx=basic","update","proj-b75","--add-acceptance","AC1"]
update_add_acceptance_json	["@fx=basic","update","proj-b75","--add-acceptance","AC1","--add-acceptance","AC2","--json"]
error_update_check_acceptance_none	["@fx=basic","update","proj-b75","--check-acceptance","1"]
error_update_check_acceptance_none_json	["@fx=basic","update","proj-b75","--uncheck-acceptance","x","--json"]
scn_acceptance_list	["@scn=acceptance_list"]
scn_acceptance_text	["@scn=acceptance_text"]
scn_acceptance_prose	["@scn=acceptance_prose"]
scn_acceptance_select	["@scn=acceptance_select"]
scn_epic_close_comment	["@scn=epic_close_comment"]
usage_hyphen_value_design	["@fx=basic","update","proj-b75","--design","-x"]
usage_hyphen_value_notes	["@fx=basic","update","proj-b75","--notes","-x","--json"]
usage_hyphen_value_acceptance	["@fx=basic","update","proj-b75","--acceptance","- [ ] one"]
usage_hyphen_value_add_acceptance	["@fx=basic","update","proj-b75","--add-acceptance","-x"]
usage_hyphen_value_transition	["@fx=basic","close","proj-b75","--transition-comment","-x"]
usage_hyphen_value_title	["@fx=basic","update","proj-b75","--title","-x"]
usage_hyphen_value_create_assignee	["@fx=basic","create","T","--assignee","-x"]
close_bypass	["@fx=basic","close","proj-b75","--bypass-policy","--bypass-reason","why"]
error_close_bypass_no_reason	["@fx=basic","close","proj-zzz","--bypass-policy"]
error_close_bypass_no_reason_json	["@fx=basic","close","proj-b75","--bypass-policy","--json"]
error_close_bypass_blank	["@fx=basic","close","proj-b75","--bypass-policy","--bypass-reason","  "]
error_close_bypass_reason_alone	["@fx=basic","close","proj-zzz","--bypass-reason","x"]
error_close_bypass_no_ids	["@fx=basic_touched","close","--bypass-policy"]
scn_close_dotted	["@scn=close_dotted"]
scn_close_dotted_many	["@scn=close_dotted_many"]
label_add_many	["@fx=basic","label","add","proj-mta","proj-5u2","alpha","beta"]
label_add_label_looks_like_id	["@fx=basic","label","add","proj-mta","proj-5u2","proj-b75"]
label_add_middle_words	["@fx=basic","label","add","proj-mta","5u2","x7","beta"]
label_add_partial_first	["@fx=basic","label","add","5u2","beta"]
error_label_add_word_before_id	["@fx=basic","label","add","proj-mta","alpha","proj-5u2","beta"]
error_label_add_not_an_issue	["@fx=basic","label","add","zeta","beta"]
error_label_add_flag_word	["@fx=basic","label","add","proj-mta","zeta","-l","x"]
error_label_add_missing	["@fx=basic","label","add","proj-zzz","urgent"]
error_label_add_missing_json	["@fx=basic","label","add","proj-zzz","urgent","--json"]
error_label_remove_word_json	["@fx=basic","label","remove","proj-mta","alpha","proj-5u2","db","--json"]
scn_label_shapes	["@scn=label_shapes"]
scn_dep_tombstone	["@scn=dep_tombstone"]
error_dep_add_external_parent	["@fx=basic","dep","add","proj-mta","external:x","-t","parent-child"]
error_dep_add_external_parent_json	["@fx=basic","dep","add","proj-mta","external:x","-t","parent-child","--json"]
scn_label_ceiling	["@scn=label_ceiling"]
scn_label_ceiling_update	["@scn=label_ceiling_update"]
edge_idlen_163	["@fx=n163","create","Boundary","--json"]
edge_idlen_164	["@fx=n164","create","Boundary","--json"]
edge_idlen_983	["@fx=n983","create","Boundary","--json"]
edge_idlen_984	["@fx=n984","create","Boundary","--json"]
